plot	location	block	composition	species.richness	functional.richness	legumes	height3	light3	gravity3
S8P009	8	1	141	1	1	Yes	18.41666667	10.22961408	7.957029476
S8P010	8	1	197	11	2	No	23.75	12.86407843	12.93667199
S8P011	8	1	188	4	2	Yes	26.66666667	2.448654622	16.01233628
S8P012	8	1	181	2	1	No	28.33333333	7.528635338	17.42313247
S8P013	8	1	185	4	1	No	34.5	8.99020642	18.65450706
S8P014	8	1	183	2	2	Yes	37.16666667	8.830421045	14.2325988
S8P015	8	1	190	4	3	Yes	35.25	9.218072519	17.02039162
S8P017	8	1	198	11	2	Yes	NA	7.853920162	7.423662408
S8P018	8	1	2	1	1	No	35.75	7.584970072	16.09750083
S8P020	8	1	16	2	2	No	20.08333333	0.761253526	12.47769397
S8P022	8	1	5	1	1	No	24.58333333	20.48661172	9.947745625
S8P023	8	1	182	2	2	Yes	18.25	5.782851465	9.241335945
S8P025	8	1	196	11	1	No	31	4.204461128	10.12546515
S8P026	8	1	108	1	1	No	21.66666667	5.867689513	10.8679607
S8P027	8	1	180	2	1	No	28.41666667	8.674845919	15.96218495
S8P028	8	1	200	11	3	Yes	33.25	3.277193308	17.30948818
S8P029	8	1	199	11	3	Yes	26.41666667	3.224059567	11.86129494
S8P031	8	1	192	8	2	No	40.08333333	4.953193013	15.39521334
S8P032	8	1	178	1	1	No	7.909090909	93.44368219	3.577844311
S8P033	8	1	194	8	3	Yes	30.91666667	4.96404998	16.02840407
S8P034	8	1	184	2	2	No	34.25	9.521021396	13.33941879
S8P036	8	1	7	1	1	Yes	14.75	3.324666992	3.286793164
S8P037	8	1	186	4	1	No	26.75	12.15708746	9.688083943
S8P038	8	1	9	1	1	No	22.91666667	13.04402046	7.22541475
S8P039	8	1	193	8	2	Yes	27.25	5.231569707	11.03200805
S8P040	8	1	195	8	3	Yes	39.66666667	2.408091761	13.11875858
S8P042	8	2	186	4	1	No	25.16666667	18.4200339	10.10637216
S8P043	8	2	198	11	2	Yes	28.16666667	4.329710524	7.148059344
S8P044	8	2	7	1	1	Yes	11.91666667	10.6040889	4.77917121
S8P045	8	2	5	1	1	No	17.5	34.42010045	12.05794069
S8P046	8	2	187	4	2	No	15.91666667	30.86076796	11.33727587
S8P047	8	2	194	8	3	Yes	29.5	3.864066042	12.30542884
S8P048	8	2	184	2	2	No	16	39.6648097	7.612642586
S8P050	8	2	192	8	2	No	43.5	6.873437613	16.16279888
S8P051	8	2	141	1	1	Yes	17.33333333	9.445416927	4.550048969
S8P052	8	2	113	1	1	No	7.714285714	71.83080077	5.848948788
S8P053	8	2	9	1	1	No	24.08333333	23.17851767	21.01725619
S8P055	8	2	200	11	3	Yes	28.33333333	4.380688304	13.1372259
S8P056	8	2	178	1	1	No	2.3	100	3.153292755
S8P059	8	2	143	1	1	No	23.08333333	18.92524302	4.930684737
S8P060	8	2	195	8	3	Yes	38.08333333	4.467768036	11.86335919
S8P061	8	2	182	2	2	Yes	15.58333333	2.327206209	4.404028518
S8P062	8	2	197	11	2	No	32.16666667	4.800874777	9.134846576
S8P063	8	2	185	4	1	No	33.41666667	10.73552009	9.790260407
S8P064	8	2	16	2	2	No	20.83333333	6.966599897	9.788252903
S8P065	8	2	2	1	1	No	33.16666667	9.851471856	11.25699306
S8P066	8	2	191	8	1	No	24.91666667	8.048512228	12.21752028
S8P068	8	2	179	1	1	No	10.83333333	28.95614326	8.446169435
S8P069	8	2	181	2	1	No	32.5	7.834974453	12.50738185
S8P070	8	2	183	2	2	Yes	42.25	12.23909825	14.91218554
S8P071	8	2	188	4	2	Yes	26.5	1.393309734	13.34396872
S8P072	8	2	199	11	3	Yes	28.75	4.327111412	17.29961109
S8P073	8	2	189	4	3	Yes	18.5	2.738342732	11.78613173
S8P074	8	2	108	1	1	No	26.66666667	5.76021187	7.553482818
S8P075	8	2	196	11	1	No	33.83333333	8.504455201	9.206341949
S8P076	8	2	193	8	2	Yes	25.91666667	5.539065711	15.11268707
S8P077	8	2	4	1	1	No	11.83333333	9.879886955	4.77731927
S8P078	8	2	190	4	3	Yes	32.25	5.531614255	9.854423581
S8P079	8	2	180	2	1	No	24.08333333	23.00205648	12.4157368
