"Cibola Survey, 2012",,,,,diamater at 30 cm (cm),
Block,Survey Date,Individual Genotype,Treatment,Number of Genotypes,Trunk 1 diameter (cm),trunk 2 diameter (cm)
5,41028,volunteer,volunteer,volunteer,35.3,
5,41028,B161,B161,1,12.3,
5,41028,CW,CW,1,27.8,
5,41028,CW,CW,1,27.6,
5,41028,CW,CW,1,26.5,
5,41028,CW,CW,1,23.2,
5,41028,CW,CW,1,29.4,
5,41028,CW,CW,1,26.5,
5,41028,CW,CW,1,28,
5,41028,CW,CW,1,21.2,
5,41028,CW,CW,1,37,
6,41028,KT,KT,1,5.4,
6,41028,OR,OR,1,9.5,
6,41028,OR,OR,1,6.8,
6,41028,OR,OR,1,7.5,
6,41028,CNWR,CNWR,1,23.5,
6,41028,CNWR,CNWR,1,26.6,
6,41028,CW,16,16,23.5,
6,41028,B161,16,16,11.5,
6,41028,MC,MC,1,8.4,
6,41028,MC,MC,1,17.9,
6,41028,MC,MC,1,17.7,
6,41028,MC,MC,1,17.1,
6,41028,MC,MC,1,13,
6,41028,MC,MC,1,21,
6,41028,HP,8,8,38.3,
6,41028,BD,8,8,7.5,
6,41028,FR,8,8,23.75,
6,41028,HP,HP,1,25.5,
6,41028,HP,HP,1,23.5,
6,41028,NCC,2,2,6.7,
6,41028,HP,2,2,21,
6,41028,NCC,2,2,10.25,
6,41028,HP,2,2,26,
6,41028,SP,4,4,20.8,
6,41028,OR,4,4,8,
6,41028,FR,FR,1,6,21
6,41028,CW,CW,1,17.5,
6,41028,CW,CW,1,22,
6,41028,CW,CW,1,17,
6,41028,CW,CW,1,18.2,
6,41028,HNWR,HNWR,1,12,7
6,41028,HNWR,HNWR,1,14.5,
6,41028,HNWR,HNWR,1,19,
6,41028,HNWR,HNWR,1,19,
6,41028,HNWR,HNWR,1,25.5,
6,41028,HNWR,HNWR,1,17.75,
6,41028,HNWR,HNWR,1,18,
6,41028,HNWR,HNWR,1,23.25,
6,41028,NCC,NCC,1,20.2,
6,41028,NCC,NCC,1,21.5,
6,41028,NCC,NCC,1,8.8,
6,41028,SP,4,4,DEAD,
6,41028,BD,BD,1,DEAD,
6,41028,BD,BD,1,DEAD,
6,41028,BD,BD,1,DEAD,
6,41028,BD,BD,1,DEAD,
6,41028,FR,FR,1,DEAD,
6,41028,FC,FC,1,DEAD,
6,41028,NCC,NCC,1,DEAD,
7,41028,FC,FC,1,31.3,
7,41028,FC,FC,1,28.5,
7,41028,FC,FC,1,14.8,
7,41028,FC,FC,1,30.2,
7,41028,FC,FC,1,22.9,
7,41028,FC,FC,1,32.4,
7,41028,FC,FC,1,24.7,
7,41028,FC,FC,1,22.9,
7,41028,FC,FC,1,18.6,
7,41028,FC,FC,1,17,
7,41028,FC,FC,1,23.9,
7,41028,FC,FC,1,22.7,
7,41028,FC,FC,1,18.6,
7,41028,FC,FC,1,13.2,
7,41028,HP,4,4,28.7,
7,41028,BD,4,4,15.1,
7,41028,GR,4,4,20.9,
7,41028,GR,4,4,24.9,
7,41028,FC,4,4,23.8,
7,41028,FC,4,4,21.3,
7,41028,CNWR,CNWR,1,18.4,
7,41028,CNWR,CNWR,1,20,
7,41028,CNWR,CNWR,1,DEAD,
7,41028,CNWR,CNWR,1,24.5,
7,41028,CNWR,CNWR,1,22,
7,41028,CNWR,CNWR,1,21.8,
7,41028,CNWR,CNWR,1,23.3,
7,41028,CNWR,CNWR,1,20.4,
7,41028,CNWR,CNWR,1,21,
7,41028,MC,MC,1,14.7,
7,41028,MC,MC,1,14.8,
7,41028,MC,MC,1,18.5,
7,41028,MC,MC,1,9.6,
7,41028,MC,MC,1,15,
7,41028,MC,MC,1,18.3,
7,41028,MC,MC,1,20.6,
7,41028,MC,MC,1,19.2,
7,41028,MC,MC,1,16.3,
7,41028,MC,MC,1,15.6,
7,41028,MC,MC,1,18,
7,41028,MC,MC,1,14.4,
7,41028,SP,8,8,26.1,
7,41028,CW,8,8,21.2,
7,41028,CW,8,8,29.8,
7,41028,OV,8,8,8.4,
7,41028,FC,8,8,27.7,
7,41028,GR,GR,1,4.9,
7,41028,GR,GR,1,25.2,
7,41028,GR,GR,1,16,
7,41028,GR,GR,1,25.8,
7,41028,GR,GR,1,19.4,
7,41028,GR,GR,1,15.2,
7,41028,FR,FR,1,14.8,
7,41028,FR,FR,1,11.8,
7,41028,FR,FR,1,13.4,7.4
7,41028,FR,FR,1,12.6,
7,41028,FR,FR,1,11.4,
7,41028,FR,FR,1,7.7,
7,41028,FR,FR,1,7.4,
7,41028,HNWR,HNWR,1,22.8,
7,41028,HNWR,HNWR,1,28.8,
7,41028,HNWR,HNWR,1,16.5,
7,41028,HNWR,HNWR,1,28.9,
7,41028,HNWR,HNWR,1,21.5,
7,41028,HNWR,HNWR,1,31.9,
7,41028,HNWR,HNWR,1,21.5,
7,41028,FC,2,2,23.7,
7,41028,MC,2,2,11.3,
7,41028,MC,2,2,29.9,
7,41028,FC,2,2,23.7,
7,41028,MC,2,2,13.9,
7,41028,MC,2,2,12.6,
7,41028,MC,2,2,DEAD,
7,41028,CW,CW,1,20.6,
7,41028,CW,CW,1,20.5,
7,41028,CW,CW,1,21.4,
7,41028,CW,CW,1,8.8,
7,41028,CW,CW,1,24.9,
7,41028,CW,CW,1,21.6,
7,41028,FC,16,16,18.8,
7,41028,NCC,16,16,9.5,
7,41028,OV,16,16,3.6,
7,41028,HNWR,16,16,22.8,
7,41028,B161,16,16,4.1,
7,41028,BD,BD,1,18.3,
7,41028,BD,BD,1,19.5,
7,41028,BD,BD,1,19.2,
7,41028,BD,BD,1,20.2,
7,41028,BD,BD,1,12.4,
7,41028,BD,BD,1,16,
7,41028,BD,BD,1,32.2,
7,41028,BD,BD,1,27.6,
7,41028,BD,BD,1,24.4,
7,41028,BD,BD,1,24.6,
7,41028,OV,OV,1,9,
7,41028,OV,OV,1,8.2,
7,41028,OV,OV,1,4.4,
7,41028,OV,OV,1,16.2,
7,41028,OR,OR,1,16.2,
7,41028,OR,OR,1,12.9,
7,41028,OR,OR,1,14.9,
7,41028,OR,OR,1,3.2,1.2
7,41028,OR,OR,1,6.3,
7,41028,OR,OR,1,8.9,
7,41028,SP,SP,1,30.8,
7,41028,SP,SP,1,27.7,
7,41028,SP,SP,1,15,
7,41028,SP,SP,1,24.3,
7,41028,SP,SP,1,26.4,
8,41028,FR,FR,1,16,
8,41028,HNWR,HNWR,1,18.5,
8,41028,OV,OV,1,17.3,
8,41028,OR,4,4,16.1,
8,41028,OV,OV,1,18.8,
8,41028,PNWR,4,4,22.7,
8,41028,OR,4,4,15.1,
8,41028,PNWR,4,4,24.5,
8,41028,FR,FR,1,9.5,
8,41028,volunteer,FR,1,32.5,
8,41028,OV,OV,1,14,
8,41028,OV,OV,1,9,
8,41028,OR,4,4,9.3,
8,41028,FR,4,4,14.6,
8,41028,PNWR,4,4,31.4,
8,41028,FR,FR,1,12.3,9.5
8,41028,FR,FR,1,8.7,
8,41028,HNWR,HNWR,1,24.3,
8,41028,HNWR,HNWR,1,31.6,
8,41028,OR,4,4,17.5,
8,41028,PNWR,PNWR,1,19.3,
8,41028,B161,B161,1,18,
8,41028,CW,CW,1,20.5,
8,41028,volunteer,CW,1,8.8,
8,41028,SP,SP,1,14.3,
8,41028,SP,SP,1,29.8,
8,41028,B161,B161,1,14.1,
8,41028,B161,B161,1,14.5,
8,41028,SP,SP,1,22,
8,41028,SP,SP,1,24.8,
8,41028,SP,SP,1,21.6,
8,41028,PNWR,PNWR,1,15.6,
8,41028,B161,B161,1,14.3,
8,41028,CW,CW,1,28.9,
8,41028,PNWR,PNWR,1,29.9,
8,41028,B161,B161,1,12.5,
8,41028,B161,B161,1,7.7,
8,41028,PNWR,16,16,27,
8,41028,FC,FC,1,23,
8,41028,FC,FC,1,24.4,
8,41028,FC,FC,1,30.5,
8,41028,volunteer,CNWR,1,10.6,
8,41028,CNWR,CNWR,1,25.2,
8,41028,CNWR,CNWR,1,27.5,
8,41028,CNWR,CNWR,1,26.8,
8,41028,NCC,NCC,1,12.5,
8,41028,NCC,NCC,1,11,
8,41028,FC,FC,1,28.2,
8,41028,CNWR,CNWR,1,28.2,
8,41028,CNWR,CNWR,1,22.7,
8,41028,SP,16,16,30.9,
8,41028,FC,FC,1,25.6,
8,41028,FC,FC,1,31.7,
8,41028,CNWR,CNWR,1,12,
8,41028,CNWR,CNWR,1,12.1,
8,41028,NCC,NCC,1,8.8,
8,41028,BD,16,16,14.3,
8,41028,HP,16,16,36.2,
8,41028,OR,16,16,12,
8,41028,FC,FC,1,15.7,
8,41028,MC,2,2,22,
8,41028,GR,GR,1,14.9,
8,41028,MC,8,8,25,
8,41028,MC,MC,1,15.5,
8,41028,HNWR,2,2,27.4,
8,41028,HNWR,2,2,24.8,
8,41028,MC,8,8,19.5,
8,41028,MC,MC,1,21.5,
8,41028,HNWR,2,2,35,
8,41028,MC,2,2,18.2,
8,41028,FR,8,8,13.1,
8,41028,volunteer,MC,1,5.8,
8,41028,BD,BD,1,21.3,
8,41028,BD,BD,1,15.5,
8,41028,BD,BD,1,18.3,
8,41028,OR,OR,1,4.8,
8,41028,HP,HP,1,25.2,
8,41028,BD,BD,1,18.9,
8,41028,BD,BD,1,14.5,
8,41028,OR,OR,1,11.1,
8,41028,OR,OR,1,21.9,
8,41028,HP,HP,1,16.8,
8,41028,volunteer,BD,1,4,
8,41028,BD,BD,1,16.4,
8,41028,OR,OR,1,17.3,
8,41028,BD,BD,1,17.3,
8,41028,BD,BD,1,14.9,
8,41028,OR,OR,1,17,
8,41028,FR,FR,1,DEAD,
8,41028,HNWR,HNWR,1,DEAD,
8,41028,HNWR,HNWR,1,DEAD,
8,41028,OR,OR,1,DEAD,
8,41028,OR,OR,1,DEAD,
9,41028,BD,BD,1,15.5,
9,41028,BD,BD,1,22.2,
9,41028,NCC,NCC,1,DEAD,
9,41028,NCC,NCC,1,DEAD,
9,41028,BD,BD,1,24,
9,41028,FC,FC,1,32.8,
9,41028,CW,16,16,30.1,
9,41028,SP,16,16,28.1,
9,41028,FC,FC,1,25.3,
9,41028,MC,MC,1,18.7,
9,41028,MC,MC,1,9.1,
9,41028,HP,16,16,30.5,
9,41028,OR,16,16,3.4,
9,41028,FC,FC,1,29.5,
9,41028,FC,FC,1,27.2,
9,41028,MC,MC,1,16.6,
9,41028,CNWR,16,16,33,
9,41028,GR,2,2,18.9,
9,41028,FR,FR,1,DEAD,
9,41028,GR,8,8,12.4,
9,41028,HNWR,8,8,30.4,
9,41028,HNWR,8,8,33,
9,41028,CNWR,8,8,19.3,
9,41028,FR,FR,1,11.6,
9,41028,SP,8,8,20.1,
9,41028,GR,GR,1,18.9,
9,41028,GR,GR,1,21.8,
9,41028,PNWR,PNWR,1,16.1,
9,41028,SP,SP,1,26.8,
9,41028,SP,SP,1,24.7,
9,41028,HNWR,HNWR,1,25,
9,41028,HNWR,HNWR,1,DEAD,
9,41028,HNWR,HNWR,1,DEAD,
9,41028,SP,SP,1,26.2,
9,41028,SP,SP,1,DEAD,
9,41028,HNWR,HNWR,1,23.7,
9,41028,HNWR,HNWR,1,30.8,
9,41028,PNWR,PNWR,1,20.8,
9,41028,SP,SP,1,17,
9,41028,HNWR,HNWR,1,11.3,
9,41028,HNWR,HNWR,1,14.3,
9,41028,PNWR,PNWR,1,14.9,
9,41028,PNWR,PNWR,1,10.4,
9,41028,SP,SP,1,31.8,
9,41028,SP,SP,1,18.7,
9,41028,SP,SP,1,22.3,
9,41028,HNWR,HNWR,1,23.2,
9,41028,HNWR,HNWR,1,20.9,
9,41028,CNWR,4,4,18.2,
9,41028,CW,CW,1,22.5,
9,41028,HNWR,4,4,25.1,
9,41028,NCC,4,4,3.9,
9,41028,CW,CW,1,6.8,
9,41028,HP,HP,1,20,
9,41028,HP,HP,1,13.3,
9,41028,HP,HP,1,25.2,
9,41028,FR,4,4,10,
9,41028,CW,CW,1,25.2,
9,41028,CW,CW,1,24.6,
9,41028,CW,CW,1,13.5,
9,41028,HP,HP,1,21,
9,41028,HP,HP,1,33.8,
9,41028,HNWR,4,4,33.1,
9,41028,CW,CW,1,21.2,
9,41028,CW,CW,1,27,
9,41028,HP,HP,1,27.3,
9,41028,HP,HP,1,22.3,
9,41028,HP,HP,1,27.1,
9,41028,HP,HP,1,3.6,
10,41028,BD,BD,1,24.4,
10,41028,CW,CW,1,36,
10,41028,OR,OR,1,8,
10,41028,OR,OR,1,14.5,
10,41028,OR,OR,1,17,
10,41028,PNWR,PNWR,1,15.8,
10,41028,PNWR,PNWR,1,30,
10,41028,BD,BD,1,24.7,
10,41028,CW,CW,1,30.4,
10,41028,CW,CW,1,26.8,
10,41028,CW,CW,1,33.4,
10,41028,PNWR,PNWR,1,35.7,
10,41028,CW,CW,1,26.1,
10,41028,BD,BD,1,25.2,
10,41028,CW,CW,1,20,
10,41028,CW,CW,1,15,
10,41028,CW,CW,1,35.9,
10,41028,CW,CW,1,18.75,
10,41028,OR,OR,1,14,
10,41028,OR,OR,1,DEAD,
10,41028,PNWR,PNWR,1,27,
10,41028,PNWR,PNWR,1,27.5,
10,41028,FC,FC,1,31,
10,41028,FC,FC,1,29.2,
10,41028,FC,FC,1,29.6,
10,41028,SP,SP,1,32,
10,41028,SP,SP,1,20.5,
10,41028,FC,4,4,33.5,
10,41028,FC,8,8,29.9,
10,41028,FC,8,8,31.4,
10,41028,FC,FC,1,19,
10,41028,FC,FC,1,14.3,
10,41028,MC,4,4,17.2,
10,41028,GR,4,4,21,
10,41028,SP,4,4,30,
10,41028,MC,4,4,23.5,
10,41028,PNWR,8,8,24.9,
10,41028,NCC,8,8,9.2,
10,41028,MC,8,8,24,
10,41028,FC,FC,1,33.5,
10,41028,FC,FC,1,25.4,
10,41028,SP,SP,1,23.5,
10,41028,SP,SP,1,19,
10,41028,FC,4,4,31.8,
10,41028,SP,4,4,20,
10,41028,CW,8,8,28,
10,41028,FC,FC,1,30.9,
10,41028,FC,FC,1,22.8,
10,41028,FC,FC,1,24.8,
10,41028,SP,SP,1,26.75,
10,41028,SP,SP,1,DEAD,
10,41028,SP,SP,1,24,
10,41028,MC,4,4,14.4,
10,41028,MC,4,4,25.7,
10,41028,BD,8,8,14.5,
10,41028,PNWR,8,8,22.4,
10,41028,CW,8,8,27.4,
10,41028,BD,16,16,22.5,
10,41028,OR,16,16,11.5,
10,41028,HNWR,HNWR,1,24.2,
10,41028,HNWR,HNWR,1,26.6,
10,41028,HNWR,HNWR,1,24.25,
10,41028,CNWR,CNWR,1,24.9,
10,41028,OV,OV,1,17.5,
10,41028,OV,OV,1,9.9,
10,41028,OV,OV,1,16.5,
10,41028,CW,16,16,27.5,
10,41028,FC,16,16,30.1,
10,41028,HNWR,HNWR,1,13.5,
10,41028,HNWR,HNWR,1,27.75,
